feature_a,feature_b,cluster_eda_a,cluster_eda_b,mismo_cluster_eda,fusionado_en_P,ambas_en_51,pearson_r,pearson_abs,spearman_abs,H_x,H_y,H_xy,bins_x,bins_y,mi_bits,bias_bits,mi_corr_bits,nmi_sqrt,nmi_max,u_x_given_y,u_y_given_x,r_info,g_stat,g_dof,g_pvalue,mi_ref_gauss_bits,gauss_ratio
Protocol,Flow Duration,,5.0,False,False,True,-0.4358225941881683,0.4358225941881683,0.5715521100741593,0.9788449640134724,4.321872369714123,4.711784760921509,3,20,0.5889325728060868,2.363140914669477e-05,0.58890894139694,0.28632233301499543,0.13626245548660065,0.6016365850035007,0.13626245548660065,0.7469808833432959,946982.8749596052,38,0.0,0.6559307873397034,0.8978217713875152
Protocol,Total Fwd Packet,,1.0,False,False,True,-0.015457912116860102,0.015457912116860102,0.7414245074999994,0.9788449640134724,2.6678630273407147,3.0589885779163097,3,10,0.5877194134378776,1.119382538527647e-05,0.5877082196124923,0.36368303708332456,0.22029175170897394,0.6004099129271337,0.22029175170897394,0.7464878177334816,945052.0790631025,18,0.0,0.5174037756395089,1.1358792635134667
Protocol,Total Bwd packets,,1.0,False,False,False,-0.014144862963617605,0.014144862963617605,0.6559101691899439,0.9788449640134724,2.5103151768836143,2.8606781854913717,3,9,0.6284819554057153,9.95006700913464e-06,0.6284720053387062,0.4009265860770734,0.25035581632379383,0.6420546955279183,0.25035581632379383,0.7626077892435084,1010601.4438081491,16,0.0,0.49841371404005336,1.260944447624491
Protocol,Total Length of Fwd Packet,,,False,False,True,-0.05341158939710509,0.05341158939710509,0.4435036533043165,0.9788449640134724,4.2299111681949295,4.439200817250344,3,19,0.7695553149580574,2.238765077055294e-05,0.7695329273072868,0.37818528669595614,0.1819264983845221,0.7861642605301234,0.1819264983845221,0.8098714758818176,1237431.5495175156,36,0.0,0.6550595956266525,1.1747525453331085
Protocol,Total Length of Bwd Packet,,1.0,False,False,False,-0.010682517629872289,0.010682517629872289,0.3472415252687679,0.9788449640134724,4.2213119421075636,4.528840651801681,3,19,0.6713162543193549,2.238765077055294e-05,0.6712938666685844,0.3302417679753813,0.1590249372410581,0.6858020333640343,0.1590249372410581,0.7782591147406539,1079460.2545728455,36,0.0,0.6549163667572149,1.0250070096621067
Protocol,Fwd Packet Length Max,,10.0,False,False,True,-0.4127927059952716,0.4127927059952716,0.43073503039329575,0.9788449640134724,4.225304124504939,4.409321368753679,3,19,0.794827719764732,2.238765077055294e-05,0.7948053321139614,0.3908182446686077,0.18810606495859877,0.811982858710424,0.18810606495859877,0.817152918533511,1278070.3187374186,36,0.0,0.6550582211786873,1.2133354050328815
Protocol,Fwd Packet Length Min,,,False,False,True,0.5768585856832296,0.5768585856832296,0.8721576433824658,0.9788449640134724,3.123257345523026,3.1491899943928314,3,13,0.9529123151436667,1.492510051370196e-05,0.952897390043153,0.5449859385848361,0.3050973021512511,0.9734916407354962,0.3050973021512511,0.8562305219227704,1532286.9913030292,24,0.0,0.5930545174143838,1.6067618778078323
Protocol,Fwd Packet Length Mean,,4.0,False,False,True,-0.14886472308257204,0.14886472308257204,0.046526137845111545,0.9788449640134724,4.229394606905647,4.833828024444557,3,19,0.3744115464745619,2.238765077055294e-05,0.3743891588237913,0.18400397513987057,0.08852074436669927,0.38248054859343217,0.08852074436669927,0.636311806884496,602028.7637943891,36,0.0,0.6549837039265674,0.5716007231620612
Protocol,Fwd Packet Length Std,,10.0,False,False,True,-0.4465143477192758,0.4465143477192758,0.7763217503086596,0.9788449640134724,1.8696230422048232,2.3055547878035916,3,8,0.5429132184147041,8.70630863299281e-06,0.542904512106071,0.40131876746984285,0.2903818041661652,0.5546378967717698,0.2903818041661652,0.7272358640239197,873006.4014365469,14,0.0,0.3187687808516741,1.7031294929684135
Protocol,Bwd Packet Length Max,,0.0,False,False,False,-0.5765190318365112,0.5765190318365112,0.3530215277986806,0.9788449640134724,4.220696995550858,4.4822127511398415,3,19,0.7173292084244887,2.238765077055294e-05,0.7173068207737181,0.3529034609182797,0.16994984987783987,0.732809430650394,0.16994984987783987,0.7937594492163511,1153450.4362476289,36,0.0,0.6550247032999241,1.0950836161751232
Protocol,Bwd Packet Length Min,,,False,False,True,0.701816393713534,0.701816393713534,0.8623396151250506,0.9788449640134724,3.116141377076084,3.1965169851594246,3,13,0.8984693559301316,1.492510051370196e-05,0.8984544308296178,0.5144350170189901,0.28832274345416553,0.9178720470152533,0.28832274345416553,0.8439250247242276,1444741.1138112633,24,0.0,0.5889046846880328,1.5256364131414006
